category,access,year,title,journal,doi,pmid,pmcid,entry_url,notes,path,pages,bytes,sha256
儿童,全文-官方合订本,2015,Eligibility and Disqualification Recommendations for Competitive Athletes With Cardiovascular Abnormalities: Task Force 4: Congenital Heart Disease: A Scientific Statement From the American Heart Association and American College of Cardiology,Circulation,10.1161/CIR.0000000000000240,26621645,,https://doi.org/10.1161/CIR.0000000000000240,AHA/ACC 竞技运动员先天性心脏病共识；本地 PDF 为 ACC 发布的 108 页官方合订本，其中完整收录 Task Force 4；DOI/PMID 对应该章节。,papers/pediatric/fulltext/2015_AHA_ACC_Competitive_Athlete_Eligibility_Combined_Statement.pdf,108,3829796,d96e5cc95fe6ba9c85968aac2b009f8c4554aeba84c0c41492b5e6e4e6194166
儿童,全文,2012,Anomalous aortic origin of coronary arteries from the opposite sinus: A critical appraisal of risk,BMC Cardiovascular Disorders,10.1186/1471-2261-12-83,,,https://doi.org/10.1186/1471-2261-12-83,以儿童和青年猝死风险及管理为主要应用场景的风险评述。,papers/pediatric/fulltext/2012_Penalver_AAOCA_Risk_Critical_Appraisal.pdf,10,221062,8307e9daa3cd1be83ec36ff8d162a5c5095ca1b8ed29a1a50acff4d713f53db2
儿童,全文,2011,Anomalous Aortic Origin of a Coronary Artery: Preoperative Diagnosis and Surgical Planning,World Journal for Pediatric and Congenital Heart Surgery,10.1177/2150135111406938,,,https://doi.org/10.1177/2150135111406938,外科队列，53 例；平均年龄 13.9 岁（4-65 岁），按主要年龄归入儿童。,papers/pediatric/fulltext/2011_Turner_AAOCA_Preoperative_Diagnosis_and_Surgical_Planning.pdf,6,320114,4ba99e8418d2c9fe7b0b098c5b884d29cc020f2c93a2b16e8d68d139a05bb5c1
儿童,非全文,2026,Clinical characteristics and outcomes of the anomalous aortic origin of a coronary artery: a nationwide pediatric survey in Japan,Heart and Vessels,10.1007/s00380-026-02722-y,42472738,,https://doi.org/10.1007/s00380-026-02722-y,非全文书目访问卡；未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2026_NON_FULLTEXT_Japan_Pediatric_Nationwide_Survey.pdf,1,66549,52c6c055cafaa8f4c84e9ad86e61c7664e650df86312d87f9a0f7cde75af026c
儿童,全文,2026,Multimodality Approach to Coronary Ischemic Testing in Pediatric Patients: A Scientific Statement From the American Heart Association,Journal of the American Heart Association,10.1161/JAHA.125.047790,41744120,PMC13279187,https://pmc.ncbi.nlm.nih.gov/articles/PMC13279187/,美国心脏协会关于儿童冠状动脉缺血检测的科学声明；Europe PMC 开放全文。,papers/pediatric/fulltext/2026_AHA_Pediatric_Coronary_Ischemic_Testing_Statement.pdf,16,1634389,924accf79cba437193f7355dd53202dfb418dbdc4e583ffe1c7eb51b2f4f163d
儿童,非全文,2026,Proposed Standardized Nomenclature for Anomalous Aortic Origin of a Coronary Artery: An International Multidisciplinary Initiative,JACC: Cardiovascular Imaging,10.1016/j.jcmg.2026.02.005,未分配或未检得（截至 2026-07-31）,,https://doi.org/10.1016/j.jcmg.2026.02.005,非全文书目访问卡；未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2026_NON_FULLTEXT_AAOCA_Standardized_Nomenclature.pdf,1,69749,d6beccc7969e26ae1cc9d5fcf03aa89412b3c7dff0d067f7b23464de66487ecd
儿童,非全文,2025,Clinical Considerations for Competitive Sports Participation for Athletes With Cardiovascular Abnormalities: A Scientific Statement From the American Heart Association and American College of Cardiology,Circulation,10.1161/CIR.0000000000001297,39973614,,https://doi.org/10.1161/CIR.0000000000001297,非全文书目访问卡；涵盖青年及成年竞技运动员，并涉及先天性冠状动脉异常；出版社反自动下载页面阻止取得正式 PDF，未使用摘要冒充全文。,papers/pediatric/non_fulltext/2025_NON_FULLTEXT_Kim_AHA_ACC_Competitive_Athlete_Scientific_Statement.pdf,1,48063,96ebfd17d8eb6858416858c6c5385195d846b6377fe23646385c84af0c02f7ef
儿童,非全文,2025,Coronary Events Following Dobutamine Stress Cardiac Magnetic Resonance Imaging in Pediatric Patients,Pediatric Cardiology,10.1007/s00246-024-03632-4,39172254,,https://doi.org/10.1007/s00246-024-03632-4,非全文书目访问卡；64 名小于 23 岁的儿童/青年冠脉病患者、80 次 dsCMR；并非全部为 AAOCA。未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2025_NON_FULLTEXT_Pediatric_Dobutamine_Stress_CMR.pdf,1,92033,6dde4b2363c83f83140881883939082c2d45793e125cba0d40484e3913e962d4
儿童,非全文,2025,Outcomes of 230 Patients Undergoing Surgical Repair of Anomalous Aortic Origin of a Coronary Artery,The Annals of Thoracic Surgery,10.1016/j.athoracsur.2025.01.029,39983947,,https://doi.org/10.1016/j.athoracsur.2025.01.029,非全文书目访问卡；未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2025_NON_FULLTEXT_230_Patient_Surgical_Outcomes.pdf,1,67499,547493071487a3a86c29e25aecf0ade6307a10077d0a09b1fb066b79185b5f52
儿童,非全文,2025,Sudden Cardiac Arrest and Death Secondary to Congenital Coronary Artery Abnormalities in Young Competitive Athletes,Circulation,10.1161/CIRCULATIONAHA.125.074330,41021664,,https://doi.org/10.1161/CIRCULATIONAHA.125.074330,非全文书目访问卡；研究快报，统计年轻竞技运动员中由先天性冠状动脉异常导致的心脏骤停与猝死；受试者跨中学至大学阶段，本库按运动员/青少年场景归入儿童类。未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2025_NON_FULLTEXT_Petek_Athlete_SCA_Coronary_Anomalies.pdf,1,61650,8eab5fab0487afb1410c118b2778648ffa398965f97a8fc7037e8172ef6ba8d0
儿童,全文,2025,The Diagnosis and Therapeutic Management of Anomalous Aortic Origin of the Coronary Artery: A Retrospective Study Conducted at a Single Center in China,Reviews in Cardiovascular Medicine,10.31083/RCM33432,40776969,PMC12326397,https://pmc.ncbi.nlm.nih.gov/articles/PMC12326397/,中国单中心 AAOCA 诊断与治疗管理回顾性研究；出版社开放全文。,papers/pediatric/fulltext/2025_China_Single_Center_Management.pdf,7,279870,fbbea7c2eecc09a42aee3909ee06a46f73952c3daad3d707b51b927faaeb8838
儿童,非全文,2025,What is the Optimal Surgical Technique for Anomalous Aortic Origin of a Coronary Artery?,Seminars in Thoracic and Cardiovascular Surgery: Pediatric Cardiac Surgery Annual,10.1053/j.pcsu.2025.02.006,40382131,,https://doi.org/10.1053/j.pcsu.2025.02.006,非全文书目访问卡；外科综述，按解剖把去顶、切断再植与新开口重建三种术式对应到不同壁内段情形。未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2025_NON_FULLTEXT_Mery_Optimal_Surgical_Technique_AAOCA.pdf,1,62282,228311570164df14153fde056c0ff5d81c0e8a3a30c779580bf5fa6e1d42f7f0
儿童,全文,2024,Anomalous Aortic Origin of a Coronary Artery in Pediatric Patients,Current Pediatrics Reports,10.1007/s40124-024-00317-7,39816672,PMC11729077,https://pmc.ncbi.nlm.nih.gov/articles/PMC11729077/,儿童 AAOCA 风险评估与管理综述；CC BY 开放全文。,papers/pediatric/fulltext/2024_Doan_Pediatric_AAOCA_Review.pdf,12,1024424,b021e8a43bf9abbb6592003528be28fff07b49fc140ee13c409819912e00be1a
儿童,非全文,2023,Anomalous Aortic Origin of Coronary Arteries in Children: Postoperative High-risk Anatomic Features,The Annals of Thoracic Surgery,10.1016/j.athoracsur.2022.11.024,36470562,,https://doi.org/10.1016/j.athoracsur.2022.11.024,非全文书目访问卡；62 名儿童术后 CTA（去顶 45、切断再植 17），比较两种术式残留的高危解剖特征。未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2023_NON_FULLTEXT_Doan_Postoperative_High_Risk_Anatomic_Features.pdf,1,61827,5ef3c3c3ba185ec2e061dc53ced2cf40bd620da08967d261907ecd31b48e67dc
儿童,全文,2023,Application of Patient-Specific Computational Fluid Dynamics in Anomalous Aortic Origin of Coronary Artery: A Systematic Review,Journal of Cardiovascular Development and Disease,10.3390/jcdd10090384,37754814,PMC10532130,https://pmc.ncbi.nlm.nih.gov/articles/PMC10532130/,AAOCA 患者特异性计算流体力学系统综述；开放全文。,papers/pediatric/fulltext/2023_Patient_Specific_CFD_Systematic_Review.pdf,24,2803054,07ac8e2d98f74e0e316db55551d5e5f3504526c4d23c86270b7ea29f18b55050
儿童,非全文,2023,Clinical presentation and medium-term outcomes of children with anomalous aortic origin of the left coronary artery: high-risk features beyond interarterial course,Circulation: Cardiovascular Interventions,10.1161/CIRCINTERVENTIONS.122.012635,37192311,,https://doi.org/10.1161/CIRCINTERVENTIONS.122.012635,非全文书目访问卡；未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2023_NON_FULLTEXT_Pediatric_AAOLCA_Clinical_Outcomes.pdf,1,67737,d1956b8a8fe084017b581c71a35912c6987622f026588d3dd9cdaa90c467f87a
儿童,非全文,2023,Is Exercise Stress Testing Useful for Risk Stratification in Anomalous Aortic Origin of a Coronary Artery?,Seminars in Thoracic and Cardiovascular Surgery,10.1053/j.semtcvs.2022.08.009,36041683,,https://doi.org/10.1053/j.semtcvs.2022.08.009,非全文书目访问卡；儿童及青少年 AAOCA 155 例（右冠型 126，左冠型 29），比较最大运动试验与多巴酚丁胺负荷 CMR。未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2023_NON_FULLTEXT_Qasim_Exercise_Stress_Testing_AAOCA.pdf,1,62482,bdc164171ffaf86243a6ed046e2567c6a3dc6e65f3786a41ac717963abae395d
儿童,非全文,2023,Ischemia in Anomalous Aortic Origin of a Right Coronary Artery: Large Pediatric Cohort Medium-Term Outcomes,Circulation: Cardiovascular Interventions,10.1161/CIRCINTERVENTIONS.122.012631,37071720,,https://doi.org/10.1161/CIRCINTERVENTIONS.122.012631,非全文书目访问卡；未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2023_NON_FULLTEXT_Pediatric_AAORCA_Ischemia_Outcomes.pdf,1,66170,6b0bf46bb67ecbbb82ae72cf40f66efb83c1a75d97c6ecf4e56bae197130ed8b
儿童,全文,2023,Trends in surgical management of anomalous aortic origin of the coronary artery over 2 decades,JTCVS Open,10.1016/j.xjon.2023.07.017,38204671,PMC10774946,https://pmc.ncbi.nlm.nih.gov/articles/PMC10774946/,AAOCA 外科管理 20 年趋势研究；JTCVS Open 开放全文。,papers/pediatric/fulltext/2023_Surgical_Management_Trends.pdf,14,1350780,e48492f3ff2743496baccf0d74c562c9bd9965c4852f4bab56b0e7c4ecc68566
儿童,非全文,2022,Anomalous Aortic Origin of Right Coronary Artery: Outcomes of Surgical and Nonsurgical Treatment,The Annals of Thoracic Surgery,10.1016/j.athoracsur.2021.11.008,34890570,,https://doi.org/10.1016/j.athoracsur.2021.11.008,非全文书目访问卡；未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2022_NON_FULLTEXT_AAORCA_Surgical_vs_Nonsurgical.pdf,1,67492,27e176bacbcab647ae127428dca37b8874ef751c324a86b979030aa57f174eb8
儿童,非全文,2021,Dobutamine stress cardiac MRI is safe and feasible in pediatric patients with anomalous aortic origin of a coronary artery (AAOCA),International Journal of Cardiology,10.1016/j.ijcard.2021.04.031,33892043,,https://doi.org/10.1016/j.ijcard.2021.04.031,非全文书目访问卡；182 名 20 岁以下 AAOCA 患者共 224 次多巴酚丁胺负荷 CMR 的可行性与安全性研究。未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2021_NON_FULLTEXT_Doan_Dobutamine_Stress_CMR_Pediatric.pdf,1,62054,b61abb3cb074d336c25a04ef8da28c01b9f4348359930925d43bd8b5541519cf
儿童,非全文,2021,Outcomes in anomalous aortic origin of a coronary artery after surgical reimplantation,Journal of Thoracic and Cardiovascular Surgery,10.1016/j.jtcvs.2020.12.100,33541731,,https://doi.org/10.1016/j.jtcvs.2020.12.100,非全文书目访问卡；61 例儿童 AAOCA 手术中，切断再植 16 例与去顶 45 例的直接比较。未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2021_NON_FULLTEXT_Bonilla_Ramirez_Reimplantation_vs_Unroofing.pdf,1,61690,eb4b1433c51343f5e16dab969183f37be81bf63fe5e4d701fe6d195d73d9e458
儿童,非全文,2020,Outcomes after anomalous aortic origin of a coronary artery repair: A Congenital Heart Surgeons' Society Study,Journal of Thoracic and Cardiovascular Surgery,10.1016/j.jtcvs.2020.01.114,32800265,,https://doi.org/10.1016/j.jtcvs.2020.01.114,非全文书目访问卡；未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2020_NON_FULLTEXT_CHSS_Repair_Outcomes.pdf,1,67625,576e33889fe858b4e21e56410832177474d6accd0749e1c85228b1c415f1f23f
儿童,非全文,2019,Complete unroofing of the intramural coronary artery for anomalous aortic origin of a coronary artery: The role of commissural resuspension?,Journal of Thoracic and Cardiovascular Surgery,10.1016/j.jtcvs.2019.01.140,30955961,,https://doi.org/10.1016/j.jtcvs.2019.01.140,非全文书目访问卡；26 例完整去顶手术，比较是否常规重新悬吊主动脉瓣交界对术后主动脉瓣反流的影响。未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2019_NON_FULLTEXT_Yerebakan_Complete_Unroofing_Commissural_Resuspension.pdf,1,62342,971a4d85729a16c1b187ca76b53bc3cea63d2609294faaadf1a35c36cacb0397
儿童,非全文,2018,Outcomes of surgical intervention for anomalous aortic origin of a coronary artery: A large contemporary prospective cohort study,Journal of Thoracic and Cardiovascular Surgery,10.1016/j.jtcvs.2017.08.116,29074047,,https://doi.org/10.1016/j.jtcvs.2017.08.116,非全文书目访问卡；未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2018_NON_FULLTEXT_Prospective_Surgical_Outcomes.pdf,1,67352,09d388f43230c0ee2d732c1dba0b5b04155acbe196710da2540538116e81f54a
儿童,全文-作者稿,2018,Patients with anomalous aortic origin of the coronary artery remain at risk after surgical repair,Journal of Thoracic and Cardiovascular Surgery,10.1016/j.jtcvs.2017.12.134,29526358,PMC5960432,https://pmc.ncbi.nlm.nih.gov/articles/PMC5960432/,60 例 AAOCA 修复术后队列；PMC 收录的完整 NIH 作者手稿，非出版社排版终稿。,papers/pediatric/fulltext/2018_Postoperative_Risk_Author_Manuscript.pdf,22,610735,6d5af7de18bb84564475ca1a5656ba00bcaa41e90e6911a58ef73e92cbd1a5fc
儿童,非全文,2017,Clinical evaluation of anomalous aortic origin of a coronary artery (AAOCA),Congenital Heart Disease,10.1111/chd.12505,28621042,,https://doi.org/10.1111/chd.12505,非全文书目访问卡；未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2017_NON_FULLTEXT_AAOCA_Clinical_Evaluation.pdf,1,66782,c7c794a68cea88a6a77823aaaf6c3fb3d17b0146f42266217611cd679ef3ef4d
儿童,全文-作者稿,2017,"Relationship of Echocardiographic Z Scores Adjusted for Body Surface Area to Age, Sex, Race, and Ethnicity: The Pediatric Heart Network Normal Echocardiogram Database",Circulation: Cardiovascular Imaging,10.1161/CIRCIMAGING.117.006979,29138232,PMC5812349,https://pmc.ncbi.nlm.nih.gov/articles/PMC5812349/,儿童心脏网络（PHN）正常超声 Z 值数据库主要论文；PMC 收录的完整 NIH 作者手稿，非出版社排版终稿。,papers/pediatric/fulltext/2017_Lopez_PHN_Normal_Echo_Z_Score_Database_Author_Manuscript.pdf,15,378814,9007a89602a1e1ec62a8d0bea94a3ee8346ad7c506468968b386203eec6fc172
儿童,非全文,2016,Decision analysis to define the optimal management of athletes with anomalous aortic origin of a coronary artery,Journal of Thoracic and Cardiovascular Surgery,10.1016/j.jtcvs.2016.07.076,27751241,,https://doi.org/10.1016/j.jtcvs.2016.07.076,非全文书目访问卡；未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2016_NON_FULLTEXT_Athlete_Management_Decision_Analysis.pdf,1,66715,b786a953c43b76e4b8cea2202585ebbfe9f779a1f198943926148803b5877183
儿童,非全文,2014,Anomalous Aortic Origin of a Coronary Artery: A Report From the Congenital Heart Surgeons Society Registry,World Journal for Pediatric and Congenital Heart Surgery,10.1177/2150135113516984,24403351,,https://doi.org/10.1177/2150135113516984,非全文书目访问卡；未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2014_NON_FULLTEXT_CHSS_Registry_Report.pdf,1,68035,a0c57955c805f35d5484a67fdcab83b3399ab0f8eaa5f57cf39d3766d58620df
儿童,非全文,2014,Surgical repair of anomalous aortic origin of a coronary artery,European Journal of Cardio-Thoracic Surgery,10.1093/ejcts/ezt614,24431169,,https://doi.org/10.1093/ejcts/ezt614,非全文书目访问卡；未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2014_NON_FULLTEXT_AAOCA_Surgical_Repair_76_Patients.pdf,1,66390,bcb1e74fe84188f668855d039ceb8c2ebfcfd2daac1a00b4c69801fdad471ebc
儿童,非全文,2010,The registry of anomalous aortic origin of the coronary artery of the Congenital Heart Surgeons' Society,Cardiology in the Young,10.1017/S1047951110001095,21087560,,https://doi.org/10.1017/S1047951110001095,非全文书目访问卡；未使用摘要冒充论文全文。,papers/pediatric/non_fulltext/2010_NON_FULLTEXT_CHSS_Registry.pdf,1,67172,fbb611083fb91982da0abccfb3526a68d90ebbad024e155c3fa8f2cbfd66e3e9
